id,Subject,Type,Status,Assignee,Priority,Description
62,Administrator can Authenticate ,User story,In progress,"",Normal,"As an administrator, I want to sign in using my provisioned account so I can access administration functions for my association.

\- An active administrator account and association membership exist; its password is stored only as a salted password hash.  
\- Valid credentials authenticate the administrator through the shared login endpoint; the system derives the correct association role.  
\- Incorrect credentials, nonexistent accounts and globally inactive accounts receive the same generic 401 response.  
\- Anonymous callers cannot use protected endpoints; authenticated callers cannot access another association without membership.  
\- Authentication responses expose no password, hash or unrelated profile data. Enforce the agreed expiry, abuse limits and browser protection rules.  
\- Evidence: S1-62 tests, implementation tasks #73–#78 and the shared #83/#86 policy/test work."
63,Administrator can create users ,User story,New,"",High,"As an association administrator, I want to create resident accounts so approved people can access our association.

\- Only a caller with active admin membership in the target association can create an account; resident callers receive 403 and inaccessible associations receive 404.  
\- Validate &#x60;displayName&#x60;, &#x60;email&#x60;, &#x60;temporaryPassword&#x60; and &#x60;confirmPassword&#x60; against the shared rules. Do not accept a role field.  
\- Canonical email is globally unique. Duplicate email returns 409 with the agreed safe error body and no partial records.  
\- Store only a salted password hash; atomically create the user and active resident membership.  
\- Success returns 201 with a safe user DTO and confirmation in the interface. Temporary credentials are handled privately and are never logged or returned in a toast.  
\- Under the documented onboarding contract, a new account must change its temporary password before business access. Link the first-login implementation under #64.  
\- Evidence: S1-63-01–05 and tasks #79–#82. User listing/access-state controls belong to Sprint 2."
64,Registered user can authenticate,User story,New,"",High,"As a registered user, I want to sign in with my administrator-created account so I can securely access the functions permitted to me.

\- Use the same login endpoint as administrators. Valid credentials advance through any required first-login password change and then allow identity loading.  
\- Incorrect credentials, nonexistent accounts and globally inactive accounts receive generic 401 responses.  
\- A globally active account may authenticate with zero active association memberships, but receives no association access. Disabling one membership denies that association without disabling unrelated memberships.  
\- GET identity returns only the caller&#x27;s profile and active memberships. Server policies reject resident calls to admin functions and reject cross-association access.  
\- Valid authentication persists across protected navigation and page reload within the agreed expiry. Logout/expiry prevents credential reuse and clears protected frontend state.  
\- Display field/credential/network errors and prevent duplicate submissions according to the UI criteria.  
\- Evidence: S1-64-01–08, shared S1-62 authentication/password criteria, tasks #83–#86 and first-login tasks if not already implemented. Profile editing is a separate Sprint 2 outcome."
66,Authentication & User Management,Epic,In progress,"",High,"Deliver secure administrator and registered-user authentication, administrator-created resident accounts and association-scoped authorization. By the internship review, demonstrate the admin→created-user flow, rejected unauthorized requests and secure sign-out. Sprint 2 extends account management with lists, membership activation/deactivation and own-profile editing; Sprint 3 provides test, deployment, recovery and assessment evidence. Buildings/tickets and MFA/OAuth are scheduled for the semester phase. Do not add Owner, Tenant or Student permission roles."
73,"[BE] User Schema, Migrations, and Initial Admin Seeding",Task,Closed,Daniel Moisei,Normal,"Implement users, associations, roles, memberships and sessions according to the schema. Apply migrations to an empty PostgreSQL 18 database. Seed two synthetic associations with distinct admin/resident memberships, including a dual-membership test account. Seed commands must be repeatable without duplicates or password resets; read initial secrets from protected input. Record migration/seed commands and verify unique normalized email.

Dependency: Contract alignment for session storage; hashing #74"
74,[BE] Password Hashing Service & Unit Tests,Task,In progress,Gabriel Balan,Normal,"Wrap the framework password hasher, configure the specified work factor and test correct/incorrect passwords, distinct salts for equal passwords and rehash handling. Use the exact creation-password rules. Never log plaintext or implement a cryptographic algorithm. Record actual hash format and test output.  
  
Dependency: Hasher/parameter agreement; can run alongside #73"
75,[BE] Login endpoint and authenticated session,Task,New,Gabriel Balan,Normal,"Implement the agreed login route for both roles. Validate input, return the exact safe JSON errors, enforce failure limits and create/expire/revoke authentication state as specified. With the cookie baseline, include CSRF issuance/validation, secure cookie attributes and restricted temporary-password sessions. Test seeded-admin and created-resident login. Record the agreed mechanism in the description before merge.

Dependency: #73, #74; contract agreement with #77"
76,[FE] Mobile-First Login Screen (Screen S-01),Task,In progress,Gabriela Pricop,Normal,"Build one login form for both roles with labels, email/password autocomplete, paste support, first-invalid-input focus and pending/disabled states. Show exact generic credential and network errors. Verify keyboard operation at 360px width. Do not branch into separate admin/resident login screens.

Dependency: Can start with agreed DTO mocks; integrate with #75/#77"
77,[FE] AuthContext & API Client Setup,Task,New,"",Normal,"Centralize API base URL, authenticated request handling, CSRF header handling for cookie mutations, identity loading, 401 cleanup and association selection. Never trust React role checks as authorization. With the cookie baseline, do not store tokens in localStorage/sessionStorage. Refreshing the page restores identity from the server.

Dependency: Contract agreement; #75, #83 for integration"
78,[DEVOPS] PostgreSQL and environment verification,Task,In progress,Victor Gafenco,Normal,"Verify PostgreSQL 18, .NET 10 configuration, HTTPS development and protected environment settings. Use a separate limited runtime DB identity and migration identity. Make startup/migration instructions work from a clean checkout; no real secrets in tracked files. Treat an existing older PostgreSQL data volume as a migration, not an in-place image swap.

Dependency: #73; integration with API host"
